epoch,combined_denoising_loss,loss,psnr_metric,ssim_metric,val_combined_denoising_loss,val_loss,val_psnr_metric,val_ssim_metric,learning_rate
252,0.007003176957368851,9.999999747378752e-05,0.006743724923580885,40.727561950683594,0.9927761554718018,0.007001178339123726,0.006746368017047644,40.7342529296875,0.9927977919578552
253,0.007000785320997238,9.999999747378752e-05,0.006740787997841835,40.73130416870117,0.9927768111228943,0.007029157597571611,0.006781058851629496,40.683082580566406,0.9927858114242554
254,0.006996925454586744,9.999999747378752e-05,0.006738589610904455,40.734134674072266,0.9927878379821777,0.007019603159278631,0.006773578934371471,40.69252395629883,0.9928069710731506
255,0.00699441647157073,9.999999747378752e-05,0.006736639887094498,40.736961364746094,0.9927892088890076,0.007132162805646658,0.006858876906335354,40.60239028930664,0.99257493019104
256,0.0069955880753695965,9.999999747378752e-05,0.00673724664375186,40.736263275146484,0.9927890300750732,0.006925182417035103,0.006658255122601986,40.821922302246094,0.9928399920463562
257,0.006989463698118925,9.999999747378752e-05,0.006731310859322548,40.74254608154297,0.9927980303764343,0.007123305927962065,0.006814398802816868,40.65645980834961,0.9924474954605103
258,0.006987248081713915,9.999999747378752e-05,0.0067299543879926205,40.744728088378906,0.9928032755851746,0.007003025151789188,0.006741308141499758,40.73258972167969,0.9927656650543213
259,0.006981870159506798,9.999999747378752e-05,0.006724503822624683,40.750831604003906,0.9928085207939148,0.0069140056148171425,0.006657251622527838,40.80694580078125,0.9928921461105347
260,0.006981810554862022,9.999999747378752e-05,0.006723444443196058,40.75198745727539,0.9928057789802551,0.006910514552146196,0.006642312277108431,40.8365478515625,0.9928523302078247
261,0.006975946947932243,9.999999747378752e-05,0.00671846279874444,40.75798034667969,0.9928146004676819,0.00689820758998394,0.006648541893810034,40.79233932495117,0.9929383993148804
262,0.006978215649724007,9.999999747378752e-05,0.0067213149741292,40.755409240722656,0.9928146600723267,0.006878319196403027,0.0066181062720716,40.869422912597656,0.9929203391075134
